Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
50,2,12203-01,11,150,EAST-WEST,14:45,PM,0,39
50,2,12203-01,11,150,EAST-WEST,16:45,PM,0,73
50,2,12203-01,11,150,EAST-WEST,17:00,PM,0,91
50,2,12203-01,11,150,EAST-WEST,17:15,PM,0,65
50,2,12203-01,11,150,EAST-WEST,17:30,PM,0,76
50,2,12203-01,11,150,EAST-WEST,07:00,AM,0,37
50,2,12203-01,11,150,EAST-WEST,07:15,AM,0,29
50,2,12203-01,11,150,EAST-WEST,07:30,AM,0,41
50,2,12203-01,11,150,EAST-WEST,07:45,AM,0,44
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,14:00,PM,32,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,14:15,PM,41,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,14:30,PM,41,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,14:45,PM,44,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,16:45,PM,39,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,17:00,PM,38,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,17:15,PM,47,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,17:30,PM,48,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,07:00,AM,110,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,07:15,AM,107,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,07:30,AM,110,0
100,16:45,12203-01,12,Callagham Rd,EAST-WEST,07:45,AM,102,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,12:45,PM,43,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,13:00,PM,45,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,13:15,PM,53,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,13:30,PM,53,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,18:00,PM,56,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,18:15,PM,44,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,18:30,PM,70,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,18:45,PM,61,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,07:00,AM,99,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,07:15,AM,100,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,07:30,AM,126,0
100,NO MATCH FOUND FOR: 'DayNum',12203-01,12,Callagham Rd,EAST-WEST,07:45,AM,107,0
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,14:00,PM,0,40
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,14:15,PM,0,23
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,14:30,PM,0,40
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,14:45,PM,0,35
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,16:45,PM,0,33
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,17:00,PM,0,72
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,17:15,PM,0,24
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,17:30,PM,0,32
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,06:00,AM,0,35
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,06:15,AM,0,61
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,06:30,AM,0,18
September 21 2022,16:45,12203-01,13,of Callagham Rd,EAST-WEST,06:45,AM,0,17
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,14:00,PM,0,33
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,14:15,PM,0,34
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,14:30,PM,0,34
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,14:45,PM,0,32
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,06:00,AM,0,35
